well,time_s,temperature_c,wavelength_nm,absorbance_a490,compound_id,concentration_uM,role,bucket,replicate,functional_class
A5,90.0,36.9,490,0.04,,,,,,
A5,120.0,36.9,490,0.042,,,,,,
A5,150.0,36.9,490,0.04,,,,,,
A5,180.0,36.9,490,0.04,,,,,,
A5,210.0,36.9,490,0.041,,,,,,
A5,240.0,36.9,490,0.041,,,,,,
A5,270.0,36.9,490,0.041,,,,,,
A5,300.0,36.9,490,0.039,,,,,,
A5,330.0,36.9,490,0.04,,,,,,
A5,360.0,36.9,490,0.04,,,,,,
A5,390.0,36.9,490,0.043,,,,,,
A5,420.0,36.9,490,0.041,,,,,,
A5,450.0,36.9,490,0.041,,,,,,
A5,480.0,36.9,490,0.041,,,,,,
A5,510.0,36.9,490,0.041,,,,,,
A5,540.0,36.9,490,0.04,,,,,,
A5,570.0,36.9,490,0.041,,,,,,
A5,600.0,36.9,490,0.041,,,,,,
A5,630.0,36.9,490,0.04,,,,,,
A5,660.0,36.9,490,0.04,,,,,,
A5,690.0,36.9,490,0.041,,,,,,
A5,720.0,36.9,490,0.04,,,,,,
A5,750.0,36.9,490,0.041,,,,,,
A5,780.0,36.9,490,0.04,,,,,,
A5,810.0,36.9,490,0.038,,,,,,
A5,840.0,36.9,490,0.038,,,,,,
A6,0.0,36.9,490,0.041,,,,,,
A6,30.0,36.9,490,0.041,,,,,,
A6,60.0,36.9,490,0.041,,,,,,
A6,90.0,36.9,490,0.039,,,,,,
A6,120.0,36.9,490,0.042,,,,,,
A6,150.0,36.9,490,0.041,,,,,,
A6,180.0,36.9,490,0.04,,,,,,
A6,210.0,36.9,490,0.041,,,,,,
A6,240.0,36.9,490,0.041,,,,,,
A6,270.0,36.9,490,0.041,,,,,,
A6,300.0,36.9,490,0.04,,,,,,
A6,330.0,36.9,490,0.04,,,,,,
A6,360.0,36.9,490,0.04,,,,,,
A6,390.0,36.9,490,0.041,,,,,,
A6,420.0,36.9,490,0.04,,,,,,
A6,450.0,36.9,490,0.042,,,,,,
A6,480.0,36.9,490,0.041,,,,,,
A6,510.0,36.9,490,0.041,,,,,,
A6,540.0,36.9,490,0.041,,,,,,
A6,570.0,36.9,490,0.041,,,,,,
A6,600.0,36.9,490,0.04,,,,,,
A6,630.0,36.9,490,0.042,,,,,,
A6,660.0,36.9,490,0.041,,,,,,
A6,690.0,36.9,490,0.041,,,,,,
A6,720.0,36.9,490,0.04,,,,,,
A6,750.0,36.9,490,0.042,,,,,,
A6,780.0,36.9,490,0.041,,,,,,
A6,810.0,36.9,490,0.04,,,,,,
A6,840.0,36.9,490,0.041,,,,,,
A7,0.0,36.9,490,0.041,,,,,,
A7,30.0,36.9,490,0.042,,,,,,
A7,60.0,36.9,490,0.04,,,,,,
A7,90.0,36.9,490,0.038,,,,,,
A7,120.0,36.9,490,0.041,,,,,,
A7,150.0,36.9,490,0.041,,,,,,
A7,180.0,36.9,490,0.041,,,,,,
A7,210.0,36.9,490,0.042,,,,,,
A7,240.0,36.9,490,0.041,,,,,,
A7,270.0,36.9,490,0.041,,,,,,
A7,300.0,36.9,490,0.04,,,,,,
A7,330.0,36.9,490,0.04,,,,,,
A7,360.0,36.9,490,0.04,,,,,,
A7,390.0,36.9,490,0.041,,,,,,
A7,420.0,36.9,490,0.041,,,,,,
A7,450.0,36.9,490,0.04,,,,,,
A7,480.0,36.9,490,0.041,,,,,,
A7,510.0,36.9,490,0.041,,,,,,
A7,540.0,36.9,490,0.04,,,,,,
A7,570.0,36.9,490,0.041,,,,,,
A7,600.0,36.9,490,0.04,,,,,,
A7,630.0,36.9,490,0.04,,,,,,
A7,660.0,36.9,490,0.037,,,,,,
A7,690.0,36.9,490,0.041,,,,,,
A7,720.0,36.9,490,0.039,,,,,,
A7,750.0,36.9,490,0.041,,,,,,
A7,780.0,36.9,490,0.04,,,,,,
A7,810.0,36.9,490,0.038,,,,,,
A7,840.0,36.9,490,0.041,,,,,,
A8,0.0,36.9,490,0.044,,,,,,
A8,30.0,36.9,490,0.045,,,,,,
A8,60.0,36.9,490,0.042,,,,,,
A8,90.0,36.9,490,0.042,,,,,,
A8,120.0,36.9,490,0.045,,,,,,
A8,150.0,36.9,490,0.043,,,,,,
A8,180.0,36.9,490,0.043,,,,,,
A8,210.0,36.9,490,0.044,,,,,,
A8,240.0,36.9,490,0.044,,,,,,
A8,270.0,36.9,490,0.043,,,,,,
A8,300.0,36.9,490,0.042,,,,,,
A8,330.0,36.9,490,0.044,,,,,,
A8,360.0,36.9,490,0.042,,,,,,
A8,390.0,36.9,490,0.042,,,,,,
A8,420.0,36.9,490,0.043,,,,,,
A8,450.0,36.9,490,0.043,,,,,,
A8,480.0,36.9,490,0.043,,,,,,
A8,510.0,36.9,490,0.043,,,,,,
A8,540.0,36.9,490,0.043,,,,,,
A8,570.0,36.9,490,0.043,,,,,,
A8,600.0,36.9,490,0.045,,,,,,
A8,630.0,36.9,490,0.043,,,,,,
A8,660.0,36.9,490,0.041,,,,,,
A8,690.0,36.9,490,0.043,,,,,,
A8,720.0,36.9,490,0.043,,,,,,
A8,750.0,36.9,490,0.044,,,,,,
A8,780.0,36.9,490,0.043,,,,,,
A8,810.0,36.9,490,0.04,,,,,,
A8,840.0,36.9,490,0.043,,,,,,
A9,0.0,36.9,490,0.04,,,,,,
A9,30.0,36.9,490,0.041,,,,,,
A9,60.0,36.9,490,0.039,,,,,,
A9,90.0,36.9,490,0.038,,,,,,
A9,120.0,36.9,490,0.041,,,,,,
A9,150.0,36.9,490,0.04,,,,,,
A9,180.0,36.9,490,0.04,,,,,,
A9,210.0,36.9,490,0.04,,,,,,
A9,240.0,36.9,490,0.041,,,,,,
A9,270.0,36.9,490,0.04,,,,,,
A9,300.0,36.9,490,0.039,,,,,,
A9,330.0,36.9,490,0.04,,,,,,
A9,360.0,36.9,490,0.039,,,,,,
A9,390.0,36.9,490,0.038,,,,,,
A9,420.0,36.9,490,0.04,,,,,,
A9,450.0,36.9,490,0.04,,,,,,
A9,480.0,36.9,490,0.04,,,,,,
A9,510.0,36.9,490,0.041,,,,,,
A9,540.0,36.9,490,0.04,,,,,,
A9,570.0,36.9,490,0.041,,,,,,
A9,600.0,36.9,490,0.04,,,,,,
A9,630.0,36.9,490,0.04,,,,,,
A9,660.0,36.9,490,0.037,,,,,,
A9,690.0,36.9,490,0.04,,,,,,
A9,720.0,36.9,490,0.04,,,,,,
A9,750.0,36.9,490,0.04,,,,,,
A9,780.0,36.9,490,0.04,,,,,,
A9,810.0,36.9,490,0.037,,,,,,
A9,840.0,36.9,490,0.04,,,,,,
A10,0.0,36.9,490,0.041,,,,,,
A10,30.0,36.9,490,0.041,,,,,,
A10,60.0,36.9,490,0.04,,,,,,
A10,90.0,36.9,490,0.039,,,,,,
A10,120.0,36.9,490,0.041,,,,,,
A10,150.0,36.9,490,0.041,,,,,,
A10,180.0,36.9,490,0.041,,,,,,
A10,210.0,36.9,490,0.041,,,,,,
A10,240.0,36.9,490,0.041,,,,,,
A10,270.0,36.9,490,0.041,,,,,,
A10,300.0,36.9,490,0.04,,,,,,
A10,330.0,36.9,490,0.041,,,,,,
A10,360.0,36.9,490,0.04,,,,,,
A10,390.0,36.9,490,0.041,,,,,,
A10,420.0,36.9,490,0.041,,,,,,
A10,450.0,36.9,490,0.041,,,,,,
A10,480.0,36.9,490,0.041,,,,,,
A10,510.0,36.9,490,0.041,,,,,,
A10,540.0,36.9,490,0.041,,,,,,
A10,570.0,36.9,490,0.041,,,,,,
A10,600.0,36.9,490,0.041,,,,,,
A10,630.0,36.9,490,0.041,,,,,,
A10,660.0,36.9,490,0.038,,,,,,
A10,690.0,36.9,490,0.042,,,,,,
A10,720.0,36.9,490,0.04,,,,,,
A10,750.0,36.9,490,0.041,,,,,,
A10,780.0,36.9,490,0.041,,,,,,
A10,810.0,36.9,490,0.038,,,,,,
A10,840.0,36.9,490,0.039,,,,,,
A11,0.0,36.9,490,0.041,,,,,,
A11,30.0,36.9,490,0.041,,,,,,
A11,60.0,36.9,490,0.04,,,,,,
A11,90.0,36.9,490,0.038,,,,,,
A11,120.0,36.9,490,0.041,,,,,,
A11,150.0,36.9,490,0.04,,,,,,
A11,180.0,36.9,490,0.04,,,,,,
A11,210.0,36.9,490,0.041,,,,,,
A11,240.0,36.9,490,0.041,,,,,,
A11,270.0,36.9,490,0.041,,,,,,
A11,300.0,36.9,490,0.039,,,,,,
A11,330.0,36.9,490,0.04,,,,,,
A11,360.0,36.9,490,0.039,,,,,,
A11,390.0,36.9,490,0.04,,,,,,
A11,420.0,36.9,490,0.04,,,,,,
A11,450.0,36.9,490,0.04,,,,,,
A11,480.0,36.9,490,0.04,,,,,,
A11,510.0,36.9,490,0.041,,,,,,
A11,540.0,36.9,490,0.04,,,,,,
A11,570.0,36.9,490,0.041,,,,,,
A11,600.0,36.9,490,0.04,,,,,,
A11,630.0,36.9,490,0.04,,,,,,
A11,660.0,36.9,490,0.037,,,,,,
A11,690.0,36.9,490,0.041,,,,,,
A11,720.0,36.9,490,0.039,,,,,,
A11,750.0,36.9,490,0.041,,,,,,
A11,780.0,36.9,490,0.04,,,,,,
A11,840.0,36.9,490,0.038,,,,,,
A12,0.0,36.9,490,0.04,,,,,,
A12,30.0,36.9,490,0.041,,,,,,
A12,60.0,36.9,490,0.039,,,,,,
A12,90.0,36.9,490,0.038,,,,,,
A12,120.0,36.9,490,0.041,,,,,,
A12,150.0,36.9,490,0.04,,,,,,
A12,180.0,36.9,490,0.041,,,,,,
A12,210.0,36.9,490,0.041,,,,,,
A12,240.0,36.9,490,0.041,,,,,,
