slot,compound_id,name,bucket,functional_class,screen_conc_uM,working_solution_uM,concentration_rule,screen_conc_source,expected_at_screen_conc,source_plate,source_well,refs_file,reference_summary
1,T1262,Tazobactam,tier1_inhibitor,positive,1.0,10.0,2,10x_ic50,>=50% inhibition,PHD215176,b10,data/compound_literature/refs/T1262.json,ChEMBL CHEMBL1149192 IC50=0.1 µM
2,T6685,Sulbactam sodium,tier1_inhibitor,positive,50,500,3,project_default,>=50% inhibition,PHD215176,f2,data/compound_literature/refs/T6685.json,No TEM-1 nitrocefin Ki/IC50 or assay inhibitor concentration extracted from open repositories + ChEMBL (2026-07-26). Project HTS default 50 µM.
3,T14081,Enmetazobactam,tier1_inhibitor,positive,50,500,3,project_default,>=50% inhibition,PHD215176,f7,data/compound_literature/refs/T14081.json,No TEM-1 nitrocefin Ki/IC50 or assay inhibitor concentration extracted from open repositories + ChEMBL (2026-07-26). Project HTS default 50 µM.
4,T1005,Amoxicillin,substrate_control,negative,50,500,3,project_default,uncertain,PHD215176,a8,data/compound_literature/refs/T1005.json,No TEM-1 nitrocefin Ki/IC50 or assay inhibitor concentration extracted from open repositories + ChEMBL (2026-07-26). Project HTS default 50 µM.
5,T1008,Cephalexin,substrate_control,negative,50,500,3,project_default,uncertain,PHD215176,a9,data/compound_literature/refs/T1008.json,No TEM-1 nitrocefin Ki/IC50 or assay inhibitor concentration extracted from open repositories + ChEMBL (2026-07-26). Project HTS default 50 µM.
6,T0224,Meropenem,substrate_control,negative,50,500,3,project_default,uncertain,PHD215177,a3,data/compound_literature/refs/T0224.json,No TEM-1 nitrocefin Ki/IC50 or assay inhibitor concentration extracted from open repositories + ChEMBL (2026-07-26). Project HTS default 50 µM.
7,T0985,Oxacillin sodium salt,substrate_control,negative,50,500,3,project_default,<20% inhibition,PHD215177,a4,data/compound_literature/refs/T0985.json,No TEM-1 nitrocefin Ki/IC50 or assay inhibitor concentration extracted from open repositories + ChEMBL (2026-07-26). Project HTS default 50 µM.
8,T0138,Cefpiramide acid,diverse_pick,unknown,50,500,3,project_default,uncertain,PHD215176,a2,data/compound_literature/refs/T0138.json,No TEM-1 nitrocefin Ki/IC50 or assay inhibitor concentration extracted from open repositories + ChEMBL (2026-07-26). Project HTS default 50 µM.
9,T8390,Cefazolin,diverse_pick,unknown,50,500,3,project_default,<20% inhibition,PHD215176,f3,data/compound_literature/refs/T8390.json,No TEM-1 nitrocefin Ki/IC50 or assay inhibitor concentration extracted from open repositories + ChEMBL (2026-07-26). Project HTS default 50 µM.
